url,is_qualified,first_ingestion_date,last_ingestion_date,last_content_update,is_to_ingest
https://benuri.org/content/feature/731/image5253/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/172/79f97d7a077244/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/63-british-museum-and-architectural-studies-becoming-gustav-metzger-uncovering-the-early-years-1945-59/,True,2024-07-16,2024-07-20,,True
https://benuri.org/usr/documents/exhibitions/press_release_url/82/sheer-verve-pr.pdf,False,2024-07-16,2024-07-20,,True
https://benuri.org/artists/210-horace-brodzky/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/16-liberators-twelve-extraordinary-women-artists-from-the-ben-uri/press_release_text/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/70-homeless-hidden-a-world-class-collection-homeless-and-hidden/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/143/image_standalone2069/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/244/artworks-1445-david-bomberg-ghetto-theatre-1920/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/68-motherlands-angels-country-bengal-selected-works-by-gerry-judah/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/whats-on/this-week/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/60-becoming-gustav-metzger-uncovering-the-early-years-1945-59/publications/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/730/image5234/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/221-clare-winsten/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artworks/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/270-milein-cosman/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/395-sandra-fisher/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/172/image3367/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/172/d183e7c24e25cc/,True,2024-07-16,2024-07-20,,True
https://benuri.org/artists/393-henri-epstein/overview/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/24-german-refugee-artists-to-britain-since-1900/,True,2024-07-16,2024-07-20,,True
https://benuri.org/diaspora/,True,2024-07-16,2024-07-20,,True
https://benuri.org/content/feature/484/image4878/,True,2024-07-16,2024-07-20,,True
https://benuri.org/video/109-interview-with-sandy-nairne-ben-uri-today-talks-interviews-and-films-on/,True,2024-07-16,2024-07-20,,True
https://benuri.org/events/40/,True,2024-07-16,2024-07-20,,True
https://benuri.org/exhibitions/43-self-portraits-from-the-ben-uri-collection/virtual_exhibition/,True,2024-07-16,2024-07-20,,True
